[2023-10-19 10:31:12.174] | DEBUG | controllers.cart_controllers | add_to_cart | cart_controllers.py:605 | Given Item is of type Item_type.MODEL 
[2023-10-19 10:31:12.246] | ERROR | controllers.cart_controllers | add_to_cart | cart_controllers.py:628 | invalid literal for int() with base 10: 'string'
[2023-10-19 10:31:12.248] | DEBUG | main | logging_middleware | main.py:119 | Request POST /api/v1/cart finished at 1697691672.2485638, elapsed time: 0.36 seconds with request id ikarus-10312834542367455255
[2023-10-19 10:31:12.250] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api POST http://localhost:8004/api/v1/cart is 358.5960865020752 ms
[2023-10-19 10:33:06.421] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-11041334976580728970
[2023-10-19 10:33:06.426] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:33:06.534] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:33:06.538] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:33:06.539] | DEBUG | main | logging_middleware | main.py:113 | Request POST /api/v1/cart started at 1697691786.5395665 with request id ikarus-11041334976580728970
[2023-10-19 10:33:06.574] | DEBUG | controllers.cart_controllers | add_to_cart | cart_controllers.py:605 | Given Item is of type Item_type.MODEL 
[2023-10-19 10:33:06.639] | ERROR | controllers.cart_controllers | add_to_cart | cart_controllers.py:628 | invalid literal for int() with base 10: '59.99'
[2023-10-19 10:33:06.642] | DEBUG | main | logging_middleware | main.py:119 | Request POST /api/v1/cart finished at 1697691786.642495, elapsed time: 0.10 seconds with request id ikarus-11041334976580728970
[2023-10-19 10:33:06.643] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api POST http://localhost:8004/api/v1/cart is 103.91092300415039 ms
[2023-10-19 10:33:08.631] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-12039093752463145100
[2023-10-19 10:33:08.634] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:33:08.636] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:33:08.638] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:33:08.640] | DEBUG | main | logging_middleware | main.py:113 | Request POST /api/v1/cart started at 1697691788.6403348 with request id ikarus-12039093752463145100
[2023-10-19 10:33:08.676] | DEBUG | controllers.cart_controllers | add_to_cart | cart_controllers.py:605 | Given Item is of type Item_type.MODEL 
[2023-10-19 10:33:08.750] | ERROR | controllers.cart_controllers | add_to_cart | cart_controllers.py:628 | invalid literal for int() with base 10: '59.99'
