[2023-10-19 10:45:18.884] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:45:19.006] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:45:20.196] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/models
[2023-10-19 10:45:20.343] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:45:21.717] | DEBUG | controllers.cart_controllers | get_cart_details | cart_controllers.py:129 | Cart details received successfully for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:45:21.719] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:130 | /api/v1/cart Api called Executed for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:45:21.725] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/cart finished at 1697692521.7253327, elapsed time: 2.89 seconds with request id ikarus-12355198118473546598
[2023-10-19 10:45:21.729] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/cart?page_size=10&page_number=1 is 2893.08762550354 ms
[2023-10-19 10:45:51.224] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-9713593841871797127
[2023-10-19 10:45:51.227] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:45:51.320] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:45:51.324] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:45:51.328] | DEBUG | main | logging_middleware | main.py:113 | Request POST /api/v1/orders started at 1697692551.3273647 with request id ikarus-9713593841871797127
[2023-10-19 10:45:51.335] | INFO | controllers.cart_controllers | buy_cart | cart_controllers.py:1043 | /api/v1/6530a9b6ca2d5a6cb37e91a8/order Api called for:652f84b08cb4bfc08d45225a , cart:6530a9b6ca2d5a6cb37e91a8
