2023-08-22 16:20:13.101 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:13.107 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:20:13.108 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:20:13.110 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:20:13.137 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:13.153 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:20:13.206 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:20:13.213 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:13.215 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:20:13.234 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:13.250 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:20:13.300 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:20:14.579 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:14.582 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:20:14.584 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:14.586 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:20:14.612 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:14.614 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:14.616 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:20:14.617 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:14.619 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:20:14.642 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:20:14.725 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:20:14.726 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:20:17.839 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:17.842 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:20:17.844 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:17.846 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:20:17.850 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:17.853 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
