[2023-10-19 10:36:06.166] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:130 | /api/v1/cart Api called Executed for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:36:06.171] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/cart finished at 1697691966.1719499, elapsed time: 4.77 seconds with request id ikarus-11564624093889214777
[2023-10-19 10:36:06.175] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/cart?page_size=10&page_number=1 is 4774.514198303223 ms
[2023-10-19 10:36:34.217] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-11371463871101450586
[2023-10-19 10:36:34.221] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:36:34.224] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:36:34.225] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:36:34.226] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/cart started at 1697691994.2264702 with request id ikarus-11371463871101450586
[2023-10-19 10:36:34.228] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:38 | /api/v1/cart Api called for getting cart details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:36:34.263] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:36:34.371] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:36:35.492] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/models
[2023-10-19 10:36:35.605] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:36:37.101] | DEBUG | controllers.cart_controllers | get_cart_details | cart_controllers.py:129 | Cart details received successfully for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:36:37.104] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:130 | /api/v1/cart Api called Executed for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:36:37.110] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/cart finished at 1697691997.110625, elapsed time: 2.88 seconds with request id ikarus-11371463871101450586
[2023-10-19 10:36:37.120] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/cart?page_size=10&page_number=1 is 2894.1609859466553 ms
[2023-10-19 10:38:10.613] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-12669172056151079354
[2023-10-19 10:38:10.614] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:38:10.727] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:38:10.730] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
