2023-08-22 16:20:01.380 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:01.381 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:01.382 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:20:01.384 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:01.385 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:20:01.385 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:20:01.435 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:20:01.500 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:20:01.502 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:20:11.919 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:11.921 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:11.925 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:20:11.926 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:11.928 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:20:12.028 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:20:12.030 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:20:12.968 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:12.969 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:20:12.971 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:20:12.988 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:20:13.000 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64d4b086468a8d6d8a5df95c
