2023-08-22 16:12:54.606 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:12:54.609 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:12:54.612 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:12:54.613 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:12:54.614 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:12:54.615 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:12:54.615 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:12:54.637 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:12:54.640 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:12:54.643 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:12:54.645 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:12:54.655 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:12:54.660 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:12:54.663 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:12:54.665 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:12:54.667 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:12:54.702 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:12:54.735 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:12:54.736 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:12:54.740 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:12:54.742 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
