2023-08-25 14:36:31.039 | DEBUG | services.m2m_calls | get_model_details_list_from_model_service | m2m_calls.py:22 | Calling model service with url: http://localhost:8002/api/v1/models
2023-08-25 14:36:42.313 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:162 | Order details recieved succesfully
2023-08-25 14:36:42.316 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:163 | /api/v1/my-orders Api Executed to get the order details for userId:64d9b2eab6a4174a1e6df918
2023-08-25 14:36:42.322 | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/orders finished at 1692954402.3220406, elapsed time: 30.83 seconds with request id ikarus-13188558048910143235
2023-08-25 14:36:42.323 | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/orders?page_size=10&page_number=1 is 30836.206674575806 ms
2023-08-25 14:37:54.572 | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-12708838802134167402
2023-08-25 14:37:54.574 | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
2023-08-25 14:37:54.577 | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
2023-08-25 14:37:54.579 | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
2023-08-25 14:37:54.580 | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/purchases/models started at 1692954474.5802062 with request id ikarus-12708838802134167402
2023-08-25 14:37:56.364 | INFO | services.m2m_calls | get_model_details_list_from_model_service | m2m_calls.py:21 | Getting model details from model service with url: http://localhost:8002/api/v1/models
2023-08-25 14:37:56.364 | DEBUG | services.m2m_calls | get_model_details_list_from_model_service | m2m_calls.py:22 | Calling model service with url: http://localhost:8002/api/v1/models
2023-08-25 14:38:16.358 | DEBUG | controllers.cart_controllers | get_purchased_models | cart_controllers.py:367 | Processed Models data recieved succesfully for userId :64d9b2eab6a4174a1e6df918
2023-08-25 14:38:16.360 | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/purchases/models finished at 1692954496.3608198, elapsed time: 21.78 seconds with request id ikarus-12708838802134167402
2023-08-25 14:38:16.362 | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/purchases/models?page_size=10&page_number=1 is 21782.41729736328 ms
2023-08-25 14:50:26.836 | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-9899967604010283610
2023-08-25 14:50:26.837 | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
2023-08-25 14:50:26.940 | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
2023-08-25 14:50:26.942 | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
