2023-08-22 16:19:12.507 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:19:12.508 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:19:12.567 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:12.612 | DEBUG | controllers.cart_controllers | my_orders | cart_controllers.py:394 | Order details recieved succesfully
2023-08-22 16:19:12.613 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:395 | /api/v1/my-orders Api Executed to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:19:12.664 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:12.666 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:19:12.667 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:19:12.669 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:19:12.720 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
2023-08-22 16:19:12.769 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:20.790 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:20.792 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:19:20.793 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:19:20.795 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:20.798 | DEBUG | main | session_middleware | main.py:187 | Auth type: User to microservice
2023-08-22 16:19:20.800 | DEBUG | main | auth_middleware | main.py:112 | Checking for microservice to microservice auth
2023-08-22 16:19:20.803 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64e44425fd18219d567ee7d1
2023-08-22 16:19:20.803 | DEBUG | main | session_middleware | main.py:136 | Checking for session Auth
2023-08-22 16:19:20.804 | INFO | controllers.cart_controllers | my_orders | cart_controllers.py:369 | /api/v1/my-orders Api called to get the order details for userId:64d4b086468a8d6d8a5df95c
2023-08-22 16:19:20.855 | ERROR | controllers.cart_controllers | my_orders | cart_controllers.py:374 | No orders present
