[2023-10-19 10:21:03.091] | DEBUG | controllers.cart_controllers | get_cart_details | cart_controllers.py:129 | Cart details received successfully for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:21:03.095] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:130 | /api/v1/cart Api called Executed for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:21:03.105] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/cart finished at 1697691063.1052036, elapsed time: 3.38 seconds with request id ikarus-13718001240178210227
[2023-10-19 10:21:03.110] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/cart?page_size=10&page_number=1 is 3390.7458782196045 ms
[2023-10-19 10:21:08.949] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-12714385803941295548
[2023-10-19 10:21:08.952] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:21:08.954] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:21:08.955] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
[2023-10-19 10:21:08.957] | DEBUG | main | logging_middleware | main.py:113 | Request GET /api/v1/cart started at 1697691068.9573026 with request id ikarus-12714385803941295548
[2023-10-19 10:21:08.959] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:38 | /api/v1/cart Api called for getting cart details for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:21:08.994] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:23 | Making a POST call to url: http://localhost:8002/api/v1/campaigns/tiers
[2023-10-19 10:21:09.122] | DEBUG | services.m2m_calls | m2m_request | m2m_calls.py:29 | Calling
[2023-10-19 10:21:10.617] | DEBUG | controllers.cart_controllers | get_cart_details | cart_controllers.py:129 | Cart details received successfully for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:21:10.620] | INFO | controllers.cart_controllers | get_cart_details | cart_controllers.py:130 | /api/v1/cart Api called Executed for userId:652f84b08cb4bfc08d45225a
[2023-10-19 10:21:10.623] | DEBUG | main | logging_middleware | main.py:119 | Request GET /api/v1/cart finished at 1697691070.6232073, elapsed time: 1.67 seconds with request id ikarus-12714385803941295548
[2023-10-19 10:21:10.628] | INFO | main | add_process_time_header | main.py:130 | Time to execute the api GET http://localhost:8004/api/v1/cart?page_size=10&page_number=1 is 1670.9120273590088 ms
[2023-10-19 10:21:59.351] | INFO | main | set_request_id | main.py:266 | Request ID: ikarus-13503935251192264175
[2023-10-19 10:21:59.352] | DEBUG | main | session_middleware | main.py:184 | Checking for session Auth
[2023-10-19 10:21:59.354] | DEBUG | main | session_middleware | main.py:215 | Auth type: User to microservice
[2023-10-19 10:21:59.356] | DEBUG | main | auth_middleware | main.py:155 | Checking for microservice to microservice auth
